Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"VND","VND/USD","FX","0.00","1.00","-5,810,853,150.00","569.40","569.40","Cash and/or Derivatives","-","-","-","United States","USD","USD","22,778.00"
"VND","VND/USD","FX","0.00","1.00","-2,888,882,518.00","283.08","283.08","Cash and/or Derivatives","-","-","-","United States","USD","USD","22,778.00"
"VND","VND/USD","FX","0.00","1.00","-2,340,532,466.00","229.35","229.35","Cash and/or Derivatives","-","-","-","United States","USD","USD","22,778.00"
"KES","KES/USD","FX","0.00","1.00","-3,977,567.00","233.20","233.20","Cash and/or Derivatives","-","-","-","United States","USD","USD","101.05"
"VND","VND/USD","FX","0.00","1.00","-2,667,422,610.00","261.38","261.38","Cash and/or Derivatives","-","-","-","United States","USD","USD","22,778.00"
"KES","KES/USD","FX","0.00","1.00","-17,970,339.00","266.02","266.02","Cash and/or Derivatives","-","-","-","United States","USD","USD","101.10"
"KES","KES/USD","FX","0.00","1.00","-11,041,718.00","163.45","163.45","Cash and/or Derivatives","-","-","-","United States","USD","USD","101.10"
"NGN","NGN/USD","FX","0.00","1.00","-81,862,261.00","93.91","93.91","Cash and/or Derivatives","-","-","-","United States","USD","USD","362.15"
"VND","VND/USD","FX","0.00","1.00","-1,015,103,158.00","99.47","99.47","Cash and/or Derivatives","-","-","-","United States","USD","USD","22,778.00"
"VND","VND/USD","FX","0.00","1.00","-1,036,263,163.00","101.54","101.54","Cash and/or Derivatives","-","-","-","United States","USD","USD","22,778.00"
"VND","VND/USD","FX","0.00","1.00","-1,109,816,336.00","108.75","108.75","Cash and/or Derivatives","-","-","-","United States","USD","USD","22,778.00"
"LKR","LKR/USD","FX","0.00","1.00","-21,129,245.00","128.48","128.48","Cash and/or Derivatives","-","-","-","United States","USD","USD","157.93"
"NGN","NGN/USD","FX","0.00","1.00","-128,447,950.00","147.36","147.36","Cash and/or Derivatives","-","-","-","United States","USD","USD","362.15"
"KES","KES/USD","FX","0.00","1.00","-10,190,501.00","150.85","150.85","Cash and/or Derivatives","-","-","-","United States","USD","USD","101.10"
"0102583D","AFRILAND PROPERTIES PLC","Equity","0.00","0.01","8,020.00","44.41","44.41","Real Estate","B849R30","-","NO MARKET (E.G. UNLISTED)","Nigeria","USD","NGN","359.50"
"USD","USD/NGN","FX","0.00","0.00","76,485.00","31.76","31.76","Cash and/or Derivatives","-","-","-","Nigeria","USD","NGN","1.00"
"MAD","MAD/USD","FX","0.00","1.00","-335,242.00","47.25","47.25","Cash and/or Derivatives","-","-","-","United States","USD","USD","9.47"
