title
Phó Tổng giám đốc phụ trách SCIC Nguyễn Chí Thành tham dự Hội nghị xúc tiến đầu tư Việt Nam - Hàn Quốc 2018
Dấu ấn cố Thủ tướng Phan Văn Khải với SCIC
SCIC thúc đẩy hợp tác giữa CTCP Sữa Việt Nam và CTCP Dược Hậu Giang
SCIC tổ chức khóa đào tạo nội bộ về các lưu ý chính trong giao dịch M&A
"SCIC tổ chức hội thảo nội bộ chuyên đề về định hướng đầu tư và hoàn thiện quy chế, quy trình triển khai đầu tư"
THÔNG TIN BÁO CHÍ  Chào bán cạnh tranh cổ phần của Nhà nước do SCIC làm đại diện chủ sở hữu tại Công ty cổ phần Nhựa Bình Minh
"Đảng ủy Tổng công ty Đầu tư và Kinh doanh vốn nhà nước (SCIC) tổ chức Hội nghị học tập, quán triệt Nghị quyết Trung ương 5, Ban Chấp hành Trung ương Đảng khóa XII"
SCIC hỗ trợ trao “Mái ấm tình thương” cho các hộ gia đình khó khăn thuộc Hội liên hiệp phụ nữ tỉnh Thanh Hóa
Thông báo về việc công bố thông tin giá khởi điểm chào bán cạnh tranh cổ phần của SCIC tại CTCP Nhựa Bình Minh
"Tổng công ty Đầu tư và Kinh doanh vốn nhà nước (SCIC) tổ chức Hội nghị Tổng kết hoạt động và công tác Đảng năm 2017, triển khai kế hoạch năm 2018"
SCIC nhận chuyển giao quyền đại diện chủ sở hữu nhà nước tại 02 doanh nghiệp từ UBND tỉnh Tuyên Quang.
SCIC tổ chức chào bán cạnh tranh cổ phần của Nhà nước do SCIC làm đại diện chủ sở hữu tại Vinaconex
Thông cáo báo chí về việc bán cổ phần của SCIC tại các doanh nghiệp
SCIC chia sẻ kinh nghiệm chuyên sâu với Ủy ban Triển khai đường lối chính sách kinh tế và xã hội Cu-ba về tái cơ cấu và cổ phần hóa doanh nghiệp nhà nước
"SCIC hoàn tất giới thiệu cơ hội đầu tư  cổ phần SCIC tại 4 doanh nghiệp NTP, BMP, DMC, FPT"
