title,time,init,link
Báo cáo lợi nhuận giúp chứng khoán Mỹ tăng điểm tuần này,21/04/2018 14:17,"Tuần này, nhân tố quan trọng nhất hỗ trợ cho các chỉ số chứng khoán Mỹ là các báo cáo kết quả kinh doanh quý 1/2018...",http://vneconomy.vn/bao-cao-loi-nhuan-giup-chung-khoan-my-tang-diem-tuan-nay-2018042109095762.htm
"Nhận định chứng khoán tuần 23-27/4: ""Nhịp hồi có thể chưa bền vững""",22/04/2018 11:12,VnEconomy giới thiệu nhận định và khuyến nghị đầu tư của một số công ty chứng khoán về diễn biến thị trường tuần 23-27/4/2018...,http://vneconomy.vn/nhan-dinh-chung-khoan-tuan-23-27-4-nhip-hoi-co-the-chua-ben-vung-20180421171336665.htm
"Chứng khoán sáng 20/4: Blue-chip đảo chiều, NVL thỏa thuận lớn",20/04/2018 12:03,Phục hồi đồng đều và khá nhất là các mã ngân hàng. Lúc 11h13 xuất hiện thỏa thuận của NVL...,http://vneconomy.vn/chung-khoan-sang-20-4-blue-chip-dao-chieu-nvl-thoa-thuan-lon-2018042011585109.htm
Xu thế dòng tiền: Điều chỉnh đã xong?,22/04/2018 21:35,Nhịp giảm mạnh trong tuần qua đã đưa VN-Index xuống dưới cả mốc 1080 điểm trước khi có phục hồi...,http://vneconomy.vn/xu-the-dong-tien-dieu-chinh-da-xong-20180422204045082.htm
Cổ phiếu Quốc Cường Gia Lai bị bán sàn sau bê bối khu đất Phước Kiển,19/04/2018 10:49,"Dù giảm sàn song QCG vẫn luôn trong tình trạng ""trắng bên mua"" ...",http://vneconomy.vn/co-phieu-quoc-cuong-gia-lai-bi-ban-san-sau-be-boi-khu-dat-phuoc-kien-20180419102950089.htm
Chứng khoán chiều 20/4: Tưng bừng như chưa hề có cuộc chia li…,20/04/2018 20:15,Nhà đầu tư như được xạc thêm năng lượng sau giờ nghỉ trưa để phiên chiều nay thị trường bùng nổ thật sự...,http://vneconomy.vn/chung-khoan-chieu-20-4-tung-bung-nhu-chua-he-co-cuoc-chia-li-20180420165101213.htm
Nhà đầu tư chi 3.600 tỷ mua 52 triệu cổ phiếu Novaland phiên 20/4,20/04/2018 20:59,"Hiện danh tính nhà đầu tư ngoại này chưa được tiết lộ. Song, phía Novaland đã có thông tin về việc huy động thành công 310 triệu USD trong phiên 20/4. ...",http://vneconomy.vn/nha-dau-tu-chi-3600-ty-mua-52-trieu-co-phieu-novaland-phien-20-4-20180420170109728.htm
Blog chứng khoán: Phục hồi đẹp,20/04/2018 20:16,Thị trường có khả năng cao đã xác lập đáy vào phiên hôm nay...,http://vneconomy.vn/blog-chung-khoan-phuc-hoi-dep-20180420164600822.htm
"Chứng khoán sáng 23/4: Tranh thủ thoát hàng, thị trường phục hồi bất thành",23/04/2018 12:23,Phiên đầu tuần đã chứng kiến nhà đầu tư tranh thủ bán ra ngay khi giá phục hồi. VN-Index chỉ chớm vượt trở lại lên trên tham chiếu ít phút rồi lại tiếp tục giảm...,http://vneconomy.vn/chung-khoan-sang-23-4-tranh-thu-thoat-hang-thi-truong-phuc-hoi-bat-thanh-20180423115819035.htm
9 nguyên tắc làm giàu của tỷ phú Warren Buffett,10/04/2018 21:53,Không bao giờ vay mượn đề đầu tư và biết khi nào nên từ bỏ là những nguyên tắc của huyền thoại đầu tư Warren Buffett...,http://vneconomy.vn/9-nguyen-tac-lam-giau-cua-ty-phu-warren-buffett-20180409201637791.htm
"Bê bối khu đất Phước Kiển ""thổi bay"" 900 tỷ vốn hóa của Quốc Cường Gia Lai",23/04/2018 16:14,"Dù những người trong cuộc đã lên tiếng nhưng không ngăn nổi đà ""bán sàn"" của cổ phiếu QCG...",http://vneconomy.vn/be-boi-khu-dat-phuoc-kien-thoi-bay-900-ty-von-hoa-cua-quoc-cuong-gia-lai-20180423154012829.htm
"Sụt theo thế giới, giá vàng trong nước tuột mốc 37 triệu đồng/lượng",13/04/2018 12:08,Giá vàng thế giới sụt mạnh trong phiên giao dịch ngày thứ Năm trong bối cảnh căng thẳng Syria dịu đi...,http://vneconomy.vn/sut-theo-the-gioi-gia-vang-trong-nuoc-tuot-moc-37-trieu-dong-luong-20180413113557214.htm
Năm Bảy Bảy trần tình mục tiêu lợi nhuận tăng gấp đôi sau vụ cháy Carina,25/04/2018 01:36,"Lãnh đạo Năm Bảy Bảy khẳng định vụ cháy chung cư Carina không tác động đến kết quả kinh doanh năm 2018, phải đến năm 2019 sự cố trên mới ảnh hưởng đến ghi lợi nhuận...",http://vneconomy.vn/nam-bay-bay-tran-tinh-muc-tieu-loi-nhuan-tang-gap-doi-sau-vu-chay-carina-20180424165428467.htm
Chứng khoán chiều 23/4: Tan tác cổ phiếu ngân hàng,23/04/2018 17:21,Đợt bán tháo lớn nhất kể từ đầu năm của nhóm cổ phiếu ngân hàng đã đẩy gần như tất cả nhóm này giảm sàn. Thị trường không thể chịu nổi sức ép đó...,http://vneconomy.vn/chung-khoan-chieu-23-4-tan-tac-co-phieu-ngan-hang-20180423170702491.htm
"Bảng giá chứng khoán phái sinh “đứng hình”, nhiều nhà đầu tư thua lỗ",23/04/2018 18:41,"Lần đầu tiên kể từ khi thị trường chứng khoán phái sinh đi vào hoạt động thì sự cố hiển thị khiến nhiều nhà đầu tư lỗ nặng và nhiều nhà đầu tư có ""lộc""...",http://vneconomy.vn/bang-gia-chung-khoan-phai-sinh-dung-hinh-nhieu-nha-dau-tu-thua-lo-20180423184204565.htm
Blog chứng khoán: Thị trường quá khắc nghiệt,23/04/2018 17:30,"Nhiều cái bẫy quá lớn được giăng ra triệt hạ sức mua bắt đáy. Mùi vị của ""món"" giải chấp không phải nhà đầu tư nào cũng đã được nếm, nhất là các tay chơi mới ...",http://vneconomy.vn/blog-chung-khoan-thi-truong-qua-khac-nghiet-20180423171415429.htm
Kích hoạt dòng chảy vốn đầu tư gián tiếp,12/04/2018 11:25,"Từ ngày 16-20/4, Bộ trưởng Bộ Tài chính Đinh Tiến Dũng sẽ chủ trì hội nghị xúc tiến đầu tư tại Seoul, Hàn Quốc, nhằm kích hoạt dòng chảy vốn đầu tư gián tiếp từ Hàn Quốc vào Việt Nam mạnh hơn và hiệu quả hơn...",http://vneconomy.vn/kich-hoat-dong-chay-von-dau-tu-gian-tiep-20180412101330045.htm
"Nhận định chứng khoán ngày 26/4: ""Rủi ro vẫn ở mức cao""",25/04/2018 10:31,VnEconomy giới thiệu nhận định và khuyến nghị đầu tư của một số công ty chứng khoán về diễn biến thị trường ngày 26/4/2018...,http://vneconomy.vn/nhan-dinh-chung-khoan-ngay-26-4-rui-ro-van-o-muc-cao-2018042421273922.htm
"Facebook báo lãi “khủng”, bất chấp bê bối dữ liệu",26/04/2018 09:17,Cổ phiếu Facebook tăng mạnh sau khi công ty công bố báo cáo kết quả kinh doanh khả quan hơn dự kiến...,http://vneconomy.vn/facebook-bao-lai-khung-bat-chap-be-boi-du-lieu-20180426080531711.htm
"Nhận định chứng khoán ngày 24/4: ""Áp lực bán tháo vẫn còn tiềm ẩn""",23/04/2018 21:05,VnEconomy giới thiệu nhận định và khuyến nghị đầu tư của một số công ty chứng khoán về diễn biến thị trường ngày 24/4/2018...,http://vneconomy.vn/nhan-dinh-chung-khoan-ngay-24-4-ap-luc-ban-thao-van-con-tiem-an-20180423192210857.htm
"Quý 1, Ngân hàng Quân đội báo lãi trước thuế 1.746 tỷ đồng",17/04/2018 10:29,"Theo báo cáo tài chính quý 1/2018 của MB, doanh thu hoạt động riêng của ngân hàng đạt 3.679 tỷ đồng, đóng góp đến 28% lợi nhuận mục tiêu trong 2018...",http://vneconomy.vn/quy-1-ngan-hang-quan-doi-bao-lai-truoc-thue-1746-ty-dong-2018041710272809.htm
M&A ngân hàng đang có sự chuyển dịch,17/04/2018 10:06,Các định chế tài chính quốc tế lớn bắt đầu tham gia đầu tư vào cổ phiếu của ngân hàng nội...,http://vneconomy.vn/ma-ngan-hang-dang-co-su-chuyen-dich-20180416234015337.htm
"Ba ""giấy thông hành"" cho hiện tượng TPBank",18/04/2018 08:47,Một ngân hàng 3 không đã lột xác hoàn toàn đến độ có thể gây hoài nghi về kết quả...,http://vneconomy.vn/ba-giay-thong-hanh-cho-hien-tuong-tpbank-20180418082811978.htm
"Lực tăng đang mạnh, giá dầu lập đỉnh mới",24/04/2018 15:39,"Hiện tại, giá dầu Brent đã tăng hơn 20% kể từ mức đáy của năm 2018 thiết lập hồi tháng 2...",http://vneconomy.vn/luc-tang-dang-manh-gia-dau-lap-dinh-moi-20180424153137527.htm
Lenovo trở thành cổ phiếu công nghệ tệ nhất thế giới như thế nào?,24/04/2018 15:50,Hiện Lenovo đang là cổ phiếu bị bán khống nhiều nhất trong Hang Seng Index...,http://vneconomy.vn/lenovo-tro-thanh-co-phieu-cong-nghe-te-nhat-the-gioi-nhu-the-nao-20180423190924281.htm
