stock_id,last_close,book_value,highest_52w,lowest_52w,pe,eps,roa,roe,beta,avg_vol_13w,on_bal_vol_ratio,volume,cap_market
LDP,27,13.9,38.5,26.2,13,2071,6%,15%,1.54,1880,0.05%,7829958,211
HAI,3.8,17.4,22.5,3.5,15.9,239,2%,2%,0.50,2987559,7.54%,182682799,692
HAM,18,0,19.5,13.8,0,0,5%,19%,0,988,0.03%,6225399,112
HAN,11.8,11.6,12,9.0,12.6,934,1%,7%,0,150,0%,141048000,1664
HAP,3.8,12.0,5.4,3.2,15.6,242,2%,2%,0.32,25959,0.13%,55471151,210
HAR,7.6,10.7,15.7,3.2,27.8,273,3%,3%,1.03,1946538,6.63%,101130100,769
HAS,9.7,18.7,10.4,6.3,4,2399,7%,13%,0.53,14639,0.39%,7800000,78
HAT,36.5,21.5,47.5,32,4.2,8706,18%,40%,0.16,2946,0.19%,3123000,114
HDA,9.5,13.1,10.7,7.2,6,1590,8%,12%,0.42,47434,0.89%,11500000,109
HDB,49.1,0,50.6,39.7,0,0,0%,0%,1.09,4346893,7.10%,980999979,48167
HDC,18,15.9,18.5,9.8,10.1,1781,5%,11%,0.28,305585,1.79%,45078437,811
HDG,52.5,27.5,53.5,27.9,20.2,2605,3%,14%,0.26,144810,0.59%,75968080,3988
HDM,25,41.2,31.4,23,6,4139,6%,21%,0,456,0.01%,10000000,250
HDO,0.7,4.1,1.4,0.6,0.5,1348,10%,31%,0.49,6621,0.10%,14819879,10
HDP,13.9,13.7,16.6,11.3,37,376,3%,10%,0,1007,0.03%,6758191,85
HDW,7.5,10.9,14,6.6,22.5,333,2%,7%,0,60,0%,31882470,239
HEC,21.4,0,26.6,12.4,0,0,6%,10%,0,398,0.02%,4200000,90
DQC,34.7,35.4,48.0,29.7,10,3455,7%,10%,0.17,57387,0.42%,31919216,1192
DRC,27.5,12.6,32.8,19.4,20.2,1361,6%,11%,0.80,635413,1.98%,118792605,3267
DRH,17.3,14.2,32.9,15.8,11.8,1462,7%,10%,0.18,471815,2.60%,48714150,848
DRI,9.9,12.3,14.3,7.7,5.1,1934,10%,16%,0,195075,0.81%,73200000,725
