stock_id,last_close,book_value,highest_52w,lowest_52w,pe,eps,roa,roe,beta,avg_vol_13w,on_bal_vol_ratio,volume,cap_market
CZC,9.1,26.3,10.7,5.8,7.4,1237,1%,3%,0,4,0%,5602590,51
DZM,2.9,12.8,9.7,2.5,0.7,4432,12%,35%,0.13,3127,0.12%,5395985,16
E1SSHN30,10,0,10,10,0,0,0%,0%,0,0,0%,10100000,101
E1VFVN30,18.7,0,19.3,10.9,68.6,273,0%,0%,0.90,380449,4.03%,21800000,408
EAD,26.5,0,26.5,11.4,0,0,4%,16%,0,77,0.01%,2877800,76
EBS,11.5,12.7,12.1,8.6,9.6,1204,3%,4%,0.01,5209,0.11%,9938784,118
ECI,12.6,16.7,13.9,11.7,8.1,1554,8%,9%,0.13,10,0%,1860000,23
GIL,45.8,44.0,48.9,29.2,4.1,11146,10%,25%,0.35,82589,1.30%,12674588,638
GKM,12.6,14.3,16.6,11,24,525,5%,11%,0.46,45739,2.10%,13500000,57
EFI,3.4,12.9,9.9,3.3,5.6,610,3%,3%,0.11,24937,0.49%,10180800,37
EIB,14.8,11.5,16.2,11.0,22.1,666,1%,6%,0.80,883497,1.41%,1235522904,18224
EIC,8.1,10.3,9,7,225,36,0%,0%,0,253,0%,36677145,297
EID,12.9,16.4,16.7,12.5,5.2,2492,9%,15%,0.24,7019,0.10%,15000000,193
EIN,3.1,10.5,7.2,2.1,45.6,68,0%,1%,0,725,0.01%,30407161,94
ELC,11.6,15.6,22.8,12.3,13.1,887,4%,6%,0.20,93829,0.50%,50928243,591
EMC,15.4,10.6,23.8,11.4,73.7,209,1%,2%,1.01,79896,1.51%,11473000,177
EME,20.9,0,28,8,0,0,2%,4%,0,6418,0.35%,3780298,79
EMG,17.8,0,17.8,15.2,0,0,19%,22%,0,11,0%,3000000,53
GLT,65.3,10.8,77.3,36.5,17.5,3726,16%,27%,0.70,540,0.01%,9216696,603
GLW,13.2,0,13.2,13.2,0,0,0%,0%,0,0,0%,18000000,238
GMC,25.6,19.2,29.5,23.7,5.8,4417,7%,23%,0.19,9412,0.13%,15506360,398
GMD,28.8,24.6,37.4,25.6,16.4,1748,5%,8%,0.63,1099699,2.34%,288276957,8288
GMX,25,14.9,37.4,21.8,6.4,3905,19%,26%,0.82,508,0.02%,5320694,133
GND,20.2,0,42,12.7,0,0,16%,30%,0,575,0.01%,9000000,182
