title,time,intro,link
"Hậu Junin 2, điều chỉnh chính sách quản lý ngoại hối đối với đầu tư ra nước ngoài về dầu khí",2018/04/23,,http://vietnamfinance.vn/hau-junin-2-dieu-chinh-chinh-sach-quan-ly-ngoai-hoi-doi-voi-dau-tu-ra-nuoc-ngoai-ve-dau-khi-2018042307213229.htm
May Nhà Bè lên sàn UpCom với giá 22.000 đồng/cổ phiếu,2018/04/23,,http://vietnamfinance.vn/may-nha-be-len-san-upcom-voi-gia-22000-dongco-phieu-20180423073013522.htm
Vụ đòi Sabeco nộp 2.500 tỷ cổ tức: Tổng cục Thuế gửi công văn hỏa tốc,2018/04/23,,http://vietnamfinance.vn/vu-doi-sabeco-nop-2500-ty-co-tuc-tong-cuc-thue-gui-cong-van-hoa-toc-20180423075532663.htm
"TTCK tuần tới: Thị trường 'cầm máu', Vn-Index sẵn sàng hồi phục",2018/04/22,,http://vietnamfinance.vn/ttck-tuan-toi-thi-truong-cam-mau-vn-index-san-sang-hoi-phuc-20180422002613712.htm
"Lần đầu tiên, một doanh nghiệp niêm yết bán đấu giá cổ phiếu",2018/04/21,,http://vietnamfinance.vn/lan-dau-tien-mot-doanh-nghiep-niem-yet-ban-dau-gia-co-phieu-20180421175139944.htm
SSI quyết chiếm 18% thị phần môi giới chứng khoán năm 2018,2018/04/21,,http://vietnamfinance.vn/ssi-quyet-chiem-18-thi-phan-moi-gioi-chung-khoan-nam-2018-2018042117032387.htm
"Thủ tướng: 'Thuế tài sản cần điều chỉnh đúng nhóm người giàu, người có 2 nhà trở lên'",2018/04/21,,http://vietnamfinance.vn/thu-tuong-thue-tai-san-can-dieu-chinh-dung-nhom-nguoi-giau-nguoi-co-2-nha-tro-len-20180421153834278.htm
Ông Nguyễn Duy Hưng: Chứng khoán đang tốt nhất từ trước đến nay,2018/04/21,,http://vietnamfinance.vn/ong-nguyen-duy-hung-chung-khoan-dang-tot-nhat-tu-truoc-den-nay-20180421071537065.htm
Nộp vào ngân sách trên 144.577 tỷ đồng từ cổ phần hóa doanh nghiệp nhà nước,2018/04/20,,http://vietnamfinance.vn/nop-vao-ngan-sach-tren-144577-ty-dong-tu-co-phan-hoa-doanh-nghiep-nha-nuoc-20180420171544535.htm
‘Vua cá tra’ Hùng Vương đang mất cân đối vốn nghiêm trọng,2018/04/20,,http://vietnamfinance.vn/vua-ca-tra-hung-vuong-dang-mat-can-doi-von-nghiem-trong-20180420160723064.htm
"MBS tham vọng lợi nhuận năm 2018 gấp 6,6 lần so với 2017",2018/04/20,,http://vietnamfinance.vn/mbs-tham-vong-loi-nhuan-nam-2018-gap-66-lan-so-voi-2017-20180420114336679.htm
"Thaco đặt mục tiêu doanh thu 2018 tăng gấp rưỡi lên 82.953 tỷ, hướng tới tập đoàn đa ngành",2018/04/20,,http://vietnamfinance.vn/thaco-dat-muc-tieu-doanh-thu-2018-tang-gap-ruoi-len-82953-ty-huong-toi-tap-doan-da-nganh-20180420084403464.htm
"Tăng trưởng nội địa giảm mạnh, ACV dè dặt đặt kế hoạch lãi 2018 tăng 9% lên 5.665 tỷ",2018/04/20,,http://vietnamfinance.vn/tang-truong-noi-dia-giam-manh-acv-de-dat-dat-ke-hoach-lai-2018-tang-9-len-5665-ty-2018042009182485.htm
